Date,Site,Location,T,pH,Salinity,TSS (mg/L),DO (mg/L),Chl-a (μg/L),NO3 (mgN/L),NH4 (mgN/L),PO4 (mgP/L),DSi (mgSi/L),TOC (mgC/L),TN (mgN/L),TP (mgP/L)
10-Jan-17,PC,86,29.4,6.219,0,69,3.42,2.5,1.50,0.40,0.05,0.47,6.83,3.21,0.31
07-Feb-17,PC,86,28.4,6.175,0,57,2.09,1.0,0.67,0.17,0.05,0.68,5.92,2.18,0.15
21-Feb-17,PC,86,29.4,6.221,0,12,1.77,2.2,0.57,0.16,0.03,0.05,4.96,2.25,0.07
09-Mar-17,PC,86,29.6,6.315,0,51,1.81,7.5,0.40,0.14,0.05,0.20,6.04,2.55,0.14
22-Mar-17,PC,86,29.3,6.31,0,14,1.41,6.0,1.00,0.50,0.03,1.03,10.37,2.25,0.09
11-Apr-17,PC,86,31.7,6.317,0,55,1.38,17.5,0.40,0.08,0.03,1.07,7.34,2.06,0.16
24-Apr-17,PC,86,31.7,6.267,0,24,1.4,2.5,0.70,0.11,0.03,0.70,4.94,2.33,0.16
09-May-17,PC,86,31.3,6.289,0,48,1.69,2.7,0.40,0.07,0.03,0.89,9.70,1.31,0.20
23-May-17,PC,86,30.6,6.251,0,49,1.78,1.5,0.30,0.21,0.03,0.98,4.53,1.54,0.15
06-Jun-17,PC,86,31.4,6.417,0,20,1.93,1.1,0.30,0.21,0.04,0.65,5.09,2.56,0.13
20-Jun-17,PC,86,31,6.633,0,15,3.69,2.1,0.20,0.15,0.04,0.79,3.75,2.47,0.10
03-Jul-17,PC,86,30.3,6.47,0,28,2.77,0.5,0.30,0.23,0.03,0.70,4.79,2.80,0.13
19-Jul-17,PC,86,29,6.453,0,41,2.67,1.4,0.60,0.27,0.04,0.79,5.07,2.31,0.21
02-Aug-17,PC,86,29.4,6.481,0,18,3.22,0.2,0.50,0.15,0.03,0.56,4.03,2.24,0.10
16-Aug-17,PC,86,30.4,6.57,0,26,3.72,0.0,0.40,0.16,0.02,0.79,3.97,2.09,0.12
