distance_km,value
0.000000,15.000000
2.000000,17.821782
4.000000,20.643564
6.000000,23.465347
8.000000,26.287129
10.000000,29.108911
12.000000,31.930693
14.000000,34.752475
16.000000,37.574257
18.000000,40.396040
20.000000,43.217822
22.000000,46.039604
24.000000,48.861386
26.000000,51.683168
28.000000,54.504950
30.000000,57.326733
32.000000,60.148515
34.000000,62.970297
36.000000,65.792079
38.000000,68.613861
40.000000,71.435644
42.000000,74.257426
44.000000,77.079208
46.000000,79.900990
48.000000,82.722772
50.000000,85.544554
52.000000,88.366337
54.000000,91.188119
56.000000,94.009901
58.000000,96.831683
60.000000,99.653465
62.000000,102.475248
64.000000,105.297030
66.000000,108.118812
68.000000,110.940594
70.000000,113.762376
72.000000,116.584158
74.000000,119.405941
76.000000,122.227723
78.000000,125.049505
80.000000,127.871287
82.000000,130.693069
84.000000,133.514851
86.000000,136.336634
88.000000,139.158416
90.000000,141.980198
92.000000,144.801980
94.000000,147.623762
96.000000,150.445545
98.000000,153.267327
100.000000,156.089109
102.000000,158.910891
104.000000,161.732673
106.000000,164.554455
108.000000,167.376238
110.000000,170.198020
112.000000,173.019802
114.000000,175.841584
116.000000,178.663366
118.000000,181.485149
120.000000,184.306931
122.000000,187.128713
124.000000,189.950495
126.000000,192.772277
128.000000,195.594059
130.000000,198.415842
132.000000,201.237624
134.000000,204.059406
136.000000,206.881188
138.000000,209.702970
140.000000,212.524752
142.000000,215.346535
144.000000,218.168317
146.000000,220.990099
148.000000,223.811881
150.000000,226.633663
152.000000,229.455446
154.000000,232.277228
156.000000,235.099010
158.000000,237.920792
160.000000,240.742574
162.000000,243.564356
164.000000,246.386139
166.000000,249.207921
168.000000,252.029703
170.000000,254.851485
172.000000,257.673267
174.000000,260.495050
176.000000,263.316832
178.000000,266.138614
180.000000,268.960396
182.000000,271.782178
184.000000,274.603960
186.000000,277.425743
188.000000,280.247525
190.000000,283.069307
192.000000,285.891089
194.000000,288.712871
196.000000,291.534653
198.000000,294.356436
200.000000,297.178218
202.000000,300.000000
