distance_km,value
0.000000,280.000000
2.000000,279.009901
4.000000,278.019802
6.000000,277.029703
8.000000,276.039604
10.000000,275.049505
12.000000,274.059406
14.000000,273.069307
16.000000,272.079208
18.000000,271.089109
20.000000,270.099010
22.000000,269.108911
24.000000,268.118812
26.000000,267.128713
28.000000,266.138614
30.000000,265.148515
32.000000,264.158416
34.000000,263.168317
36.000000,262.178218
38.000000,261.188119
40.000000,260.198020
42.000000,259.207921
44.000000,258.217822
46.000000,257.227723
48.000000,256.237624
50.000000,255.247525
52.000000,254.257426
54.000000,253.267327
56.000000,252.277228
58.000000,251.287129
60.000000,250.297030
62.000000,249.306931
64.000000,248.316832
66.000000,247.326733
68.000000,246.336634
70.000000,245.346535
72.000000,244.356436
74.000000,243.366337
76.000000,242.376238
78.000000,241.386139
80.000000,240.396040
82.000000,239.405941
84.000000,238.415842
86.000000,237.425743
88.000000,236.435644
90.000000,235.445545
92.000000,234.455446
94.000000,233.465347
96.000000,232.475248
98.000000,231.485149
100.000000,230.495050
102.000000,229.504950
104.000000,228.514851
106.000000,227.524752
108.000000,226.534653
110.000000,225.544554
112.000000,224.554455
114.000000,223.564356
116.000000,222.574257
118.000000,221.584158
120.000000,220.594059
122.000000,219.603960
124.000000,218.613861
126.000000,217.623762
128.000000,216.633663
130.000000,215.643564
132.000000,214.653465
134.000000,213.663366
136.000000,212.673267
138.000000,211.683168
140.000000,210.693069
142.000000,209.702970
144.000000,208.712871
146.000000,207.722772
148.000000,206.732673
150.000000,205.742574
152.000000,204.752475
154.000000,203.762376
156.000000,202.772277
158.000000,201.782178
160.000000,200.792079
162.000000,199.801980
164.000000,198.811881
166.000000,197.821782
168.000000,196.831683
170.000000,195.841584
172.000000,194.851485
174.000000,193.861386
176.000000,192.871287
178.000000,191.881188
180.000000,190.891089
182.000000,189.900990
184.000000,188.910891
186.000000,187.920792
188.000000,186.930693
190.000000,185.940594
192.000000,184.950495
194.000000,183.960396
196.000000,182.970297
198.000000,181.980198
200.000000,180.990099
202.000000,180.000000
