distance_km,value
0.000000,1.000000
2.000000,1.138614
4.000000,1.277228
6.000000,1.415842
8.000000,1.554455
10.000000,1.693069
12.000000,1.831683
14.000000,1.970297
16.000000,2.108911
18.000000,2.247525
20.000000,2.386139
22.000000,2.524752
24.000000,2.663366
26.000000,2.801980
28.000000,2.940594
30.000000,3.079208
32.000000,3.217822
34.000000,3.356436
36.000000,3.495050
38.000000,3.633663
40.000000,3.772277
42.000000,3.910891
44.000000,4.049505
46.000000,4.188119
48.000000,4.326733
50.000000,4.465347
52.000000,4.603960
54.000000,4.742574
56.000000,4.881188
58.000000,5.019802
60.000000,5.158416
62.000000,5.297030
64.000000,5.435644
66.000000,5.574257
68.000000,5.712871
70.000000,5.851485
72.000000,5.990099
74.000000,6.128713
76.000000,6.267327
78.000000,6.405941
80.000000,6.544554
82.000000,6.683168
84.000000,6.821782
86.000000,6.960396
88.000000,7.099010
90.000000,7.237624
92.000000,7.376238
94.000000,7.514851
96.000000,7.653465
98.000000,7.792079
100.000000,7.930693
102.000000,8.069307
104.000000,8.207921
106.000000,8.346535
108.000000,8.485149
110.000000,8.623762
112.000000,8.762376
114.000000,8.900990
116.000000,9.039604
118.000000,9.178218
120.000000,9.316832
122.000000,9.455446
124.000000,9.594059
126.000000,9.732673
128.000000,9.871287
130.000000,10.009901
132.000000,10.148515
134.000000,10.287129
136.000000,10.425743
138.000000,10.564356
140.000000,10.702970
142.000000,10.841584
144.000000,10.980198
146.000000,11.118812
148.000000,11.257426
150.000000,11.396040
152.000000,11.534653
154.000000,11.673267
156.000000,11.811881
158.000000,11.950495
160.000000,12.089109
162.000000,12.227723
164.000000,12.366337
166.000000,12.504950
168.000000,12.643564
170.000000,12.782178
172.000000,12.920792
174.000000,13.059406
176.000000,13.198020
178.000000,13.336634
180.000000,13.475248
182.000000,13.613861
184.000000,13.752475
186.000000,13.891089
188.000000,14.029703
190.000000,14.168317
192.000000,14.306931
194.000000,14.445545
196.000000,14.584158
198.000000,14.722772
200.000000,14.861386
202.000000,15.000000
