distance_km,value
0.000000,35.000000
2.000000,34.653465
4.000000,34.306931
6.000000,33.960396
8.000000,33.613861
10.000000,33.267327
12.000000,32.920792
14.000000,32.574257
16.000000,32.227723
18.000000,31.881188
20.000000,31.534653
22.000000,31.188119
24.000000,30.841584
26.000000,30.495050
28.000000,30.148515
30.000000,29.801980
32.000000,29.455446
34.000000,29.108911
36.000000,28.762376
38.000000,28.415842
40.000000,28.069307
42.000000,27.722772
44.000000,27.376238
46.000000,27.029703
48.000000,26.683168
50.000000,26.336634
52.000000,25.990099
54.000000,25.643564
56.000000,25.297030
58.000000,24.950495
60.000000,24.603960
62.000000,24.257426
64.000000,23.910891
66.000000,23.564356
68.000000,23.217822
70.000000,22.871287
72.000000,22.524752
74.000000,22.178218
76.000000,21.831683
78.000000,21.485149
80.000000,21.138614
82.000000,20.792079
84.000000,20.445545
86.000000,20.099010
88.000000,19.752475
90.000000,19.405941
92.000000,19.059406
94.000000,18.712871
96.000000,18.366337
98.000000,18.019802
100.000000,17.673267
102.000000,17.326733
104.000000,16.980198
106.000000,16.633663
108.000000,16.287129
110.000000,15.940594
112.000000,15.594059
114.000000,15.247525
116.000000,14.900990
118.000000,14.554455
120.000000,14.207921
122.000000,13.861386
124.000000,13.514851
126.000000,13.168317
128.000000,12.821782
130.000000,12.475248
132.000000,12.128713
134.000000,11.782178
136.000000,11.435644
138.000000,11.089109
140.000000,10.742574
142.000000,10.396040
144.000000,10.049505
146.000000,9.702970
148.000000,9.356436
150.000000,9.009901
152.000000,8.663366
154.000000,8.316832
156.000000,7.970297
158.000000,7.623762
160.000000,7.277228
162.000000,6.930693
164.000000,6.584158
166.000000,6.237624
168.000000,5.891089
170.000000,5.544554
172.000000,5.198020
174.000000,4.851485
176.000000,4.504950
178.000000,4.158416
180.000000,3.811881
182.000000,3.465347
184.000000,3.118812
186.000000,2.772277
188.000000,2.425743
190.000000,2.079208
192.000000,1.732673
194.000000,1.386139
196.000000,1.039604
198.000000,0.693069
200.000000,0.346535
202.000000,0.000000
