Location,Depth,Width
0,-9.61,3687
6.63,-11.2,3581.83
13.06,-11.2,3581.83
19.66,-11.6,3282.3
24.03,-14.6,3338.13
27.8,-9.8,2167.26
34.43,-21,1085.32
40.86,-15.5,1323.76
46.47,-20,1015.99
50.17,-31.5,723.53
56.64,-24.1,1513.5
57.99,-17.37,1118
59.96,-18.35,480.5
61.96,-19.08,397.8
63.95,-17.82,431
66.11,-16.91,367.3
68.14,-16.95,379.9
70.18,-19.02,282
71.95,-19.29,356
73.79,-19.16,293
75.5,-19.23,285.1
77.5,-17.54,285.1
79.5,-18.23,277.7
81.53,-19.18,250
83.55,-19.32,287.1
85.54,-20.25,250.9
87.54,-21.47,250.4
89.57,-19.68,260.9
91.59,-19.51,245.1
93.61,-18.26,258
95.59,-17.79,238
97.6,-17.35,231.5
99.62,-18.3,221.7
101.63,-16.62,222.2
103.63,-16.62,225.2
105.62,-18.49,226
107.65,-18.06,223.7
109.65,-17.29,224.3
111.65,-18.35,232.6
113.62,-18.72,224.2
115.63,-17.49,226.6
117.64,-18.32,229.6
119.63,-20.68,218.2
121.65,-19.9,210.8
123.67,-20.36,192.1
125.7,-19.3,170.7
127.76,-17.76,178.1
129.73,-17.77,193.9
131.73,-18.48,152
133.73,-18.67,167
135.73,-18.42,144.1
137.77,-17.1,128.6
139.72,-16.29,138.1
141.73,-17.55,182.6
143.76,-15.23,133
145.84,-12.2,171
147.86,-11.15,137.5
149.89,-10.66,136
151.9,-9.15,151.5
153.89,-8.16,146.5
155.93,-7.6,160.5
157.95,-7.35,144.5
159.96,-8.9,125.1
161.98,-8.44,134
164.05,-7.27,107.4
166.06,-7.15,157.1
168.11,-7.17,133.1
170.14,-7.01,185
172.18,-7.57,96.5
174.23,-7.19,100.8
176.27,-6.72,104
178.28,-6.15,91.1
180.25,-5.17,87.6
182.26,-4.87,85.6
184.25,-6.26,77.3
186.27,-5.06,89.6
188.25,-4.41,91.1
190.25,-3.91,74.9
192.26,-3.03,73
194.32,-2.27,66
196.3,-1.66,64
198.32,-2.49,77
200,-2.01,59.5
